"","P_5","P_7","P_8","P_9","P_10","P_18","P_19","P_22","P_23","P_25","P_31","P_37","P_42","P_43","P_47","P_50"
"NCAM2",7.18110257572884,6.24816276107247,7.89696596440515,7.54731551926522,7.0148987184955,6.97660125679948,5.39105692166814,8.11581372177716,5.48722176277911,6.4627516219755,5.04499125312644,8.43885267701581,5.95596735417219,7.270696610453,6.46477425846042,6.69212863974021
"JAM2",8.59728344716365,10.2187910859681,9.7953789622549,8.01142530184263,9.08134182493155,9.14044843421937,4.89846864349355,9.41188572322335,8.40375068180624,7.55334749649153,8.27334935138223,10.1086952625181,6.71433955978001,8.58625496460643,9.00119011330651,6.98567242354553
"EPHB1",6.39295090335612,5.6454911449479,6.46983071102431,3.65488917444887,5.67914211609752,5.46166001675066,-9.96578428466209,-9.96578428466209,2.98338090779092,7.82967850040824,3.13011389407313,5.75964020822469,5.32549816334268,2.79040782633565,4.07597815419614,-9.96578428466209
"DKK2",3.33808792538707,8.88896304516796,8.30846099477716,5.99253942497333,7.35623052938142,6.70020571391,3.12788550635151,3.05526721014455,5.33882054505793,5.28346169419207,3.29407557200748,6.49511002515224,5.67506401676771,5.43813434408307,6.87981363345375,4.52783728434456
"CXCL13",6.69111897509288,3.94854693510869,1.75365200769753,3.5770219640107,-9.96578428466209,4.25544620415937,3.72384562305133,1.81043360814082,6.08187828296296,6.03011247123999,5.09030200756866,-9.96578428466209,5.67506401676771,2.79040782633565,-9.96578428466209,3.51405937371423
"CD109",6.95039313231135,8.9951783915233,8.87693765219903,7.36226703522786,9.53205458244677,8.27535580446444,6.67294384978055,7.91504093597864,6.98466453820852,6.29577038165711,7.84675271322438,8.71858279806495,7.18009568936807,6.97458538110647,8.99618034854741,9.82040682609539
"TIMP4",6.88687286746799,8.86190561188618,7.22741420901762,4.764941632885,0.905265414668873,2.83153281188467,2.29582652298125,5.11911495031193,-9.96578428466209,3.15571516937032,3.81078897884433,5.92954507774937,3.5986836448931,6.2775400418395,5.87769395595094,2.61856187982946
"MMP14",10.2087826737575,11.2594121984243,10.2287994400228,10.5390316561136,10.9292610868639,10.5890646521563,10.5290249184726,10.2688322826882,9.80338793133031,10.0486398297215,10.6591089657858,11.6395483324825,10.6491027662252,10.2888483654157,11.3494477538523,11.5795291489474
"IL34",6.10927272620641,8.18304947408829,8.01744848278828,6.48499888645727,8.25328432453029,6.76783454971736,3.97940343673852,7.36226703522786,6.11840255176019,6.48196539267284,5.47904308575877,7.1267237476597,6.13057437948901,5.19518694029597,6.67597319075963,2.84748678045198
"KIT",6.93728764358036,11.0993432411653,10.7491628687228,10.0786678345488,10.0986861832177,8.06462675720782,-9.96578428466209,-9.96578428466209,8.45188993335874,7.88993655417955,4.73797733130576,11.2494081091022,8.16900111630677,7.954200187843,12.1896915173021,4.23544547702418
